Temperature,Pressure,WHSV,Feed_Impurity,Residence_Time,Catalyst_Type,Catalyst_Age,Surface_Area,Pore_Volume,Active_Sites,Regeneration_Cycles,Operation_Mode,Reactor_Type,Deactivated
312.36203565420874,10.071513513092363,2.9862039954911066,3.36351497104449,2.902779803589605,Noble Metal,628.3471175494444,336.9414124471988,1.3561006943128069,4.461898562931221,1,Batch,Fixed Bed,False
485.21429192297484,27.553146421539548,2.846298591183998,3.9834069859568615,4.0466184135699335,Noble Metal,184.10132336095697,557.827051633601,0.2690507986183544,2.4517566627413947,5,Continuous,Fixed Bed,True
419.59818254342156,43.77434595794401,9.109418514949848,1.252339493962495,3.8247885559717796,Noble Metal,105.65034544893071,453.48296647285116,1.3186359607822122,2.354421243346426,4,Semi-batch,Fixed Bed,False
379.597545259111,36.879019434068496,2.870688898570308,3.1243704980349944,0.8541095329994911,Metal Oxide,812.8509715367578,377.37500898872895,1.600179869966379,0.6602546762277867,8,Continuous,Fixed Bed,True
246.80559213273096,40.52149624521104,3.0835223982219944,2.8587299157187434,0.8313224017332221,Noble Metal,578.7564763599993,697.1617030856912,1.1006450486919024,2.7408933616432694,9,Batch,Fixed Bed,False
246.7983561008608,33.28038496882515,7.714283492970655,4.164151883941355,1.4140544019500754,Zeolite,618.2850210137199,814.8079771146544,0.8435239911690264,2.9937637472495005,3,Batch,Fixed Bed,False
217.42508365045984,34.92155166137477,4.77252850328013,4.530435302406302,1.8692661590710826,Noble Metal,781.4620887547093,705.4313783219176,0.6993681226417625,3.0147839192959993,2,Semi-batch,Fixed Bed,False
459.85284373248055,42.61058692670065,7.878750291074222,0.06078385738693404,2.101432348901565,Zeolite,703.2772277324516,365.6005616941433,1.3570436902917484,3.6816402619529796,8,Semi-batch,Trickle Bed,True
380.3345035229627,13.23373243410011,1.1209784968616598,3.370099595293963,3.430516362483392,Noble Metal,834.4582528560967,695.5537342700429,1.4470421575338357,1.298668257459553,7,Continuous,Trickle Bed,True
412.42177333881364,24.981823218513885,5.131926339897151,0.2591789955986451,0.37773411761259346,Noble Metal,56.213905459878475,221.58414597924096,1.7677416797525767,1.6350041040377847,5,Semi-batch,Fixed Bed,True
206.17534828874074,11.83926264916051,0.8193292017411851,2.7442933253867796,0.26989625070772527,Zeolite,747.5206367465048,204.25439047303274,0.8162013484297834,4.148287093536857,0,Continuous,Trickle Bed,True
490.9729556485983,49.3957323918357,1.095205432825868,1.438163645218391,2.0203617584251545,Noble Metal,850.8527573220954,376.50162962892716,1.585590153294054,4.762267775795273,9,Batch,Fixed Bed,True
449.7327922401265,47.25890764464405,9.111155806771905,1.533882997610706,3.5161020914761045,Noble Metal,286.13504245831433,746.1618952352457,1.2104404835408082,1.1116973631529428,0,Batch,Trickle Bed,True
263.70173320348283,2.931913757056789,1.822831025617154,1.7647925172617829,1.0478331804867647,Noble Metal,640.4472739932529,297.0785977938415,1.7891056832205423,2.7394229952734817,5,Batch,Fluidized Bed,True
254.5474901621302,35.57318345326873,5.557996481614563,3.106462245248051,3.2433719581556337,Metal Oxide,314.1620638369721,150.60272711894368,1.1500617949321175,1.4637931373281408,2,Batch,Fixed Bed,True
255.02135295603014,46.33716755336763,4.405408224706712,1.670249828343846,1.3731578759074676,Zeolite,957.971066482454,205.36762816508406,1.1317336911163411,0.770329257597421,2,Batch,Fluidized Bed,False
291.2726728878613,9.848191911239343,3.7997615994590053,3.663495252951402,4.44182193318623,Noble Metal,33.42357243550376,786.9959748236641,1.2401787465936365,1.9647650215676093,5,Continuous,Fixed Bed,False
357.42692948967135,28.829316297078844,9.048416784029088,2.0226369278693483,4.488880726906421,Zeolite,579.792843832955,607.0266277978301,1.5487676392563818,1.1465943133289573,2,Batch,Fixed Bed,True
329.58350559263476,45.85892658181405,0.7073222693671503,0.3417660015497931,1.5567073009785,Zeolite,166.50354704951508,302.56093069598137,1.9364428618912297,3.6946988304541084,9,Continuous,Fluidized Bed,True
287.36874205941257,2.663352950704143,6.806002018668097,3.918799212420536,1.2269693944198787,Zeolite,712.2202051771586,544.236660262545,0.3324140375883782,2.9017643615215,5,Batch,Fluidized Bed,True
383.55586841671385,35.17359309509516,9.65224712502873,1.42879162296353,2.1153894631245334,Noble Metal,175.89028341866208,522.0636979402802,0.2961822843038309,1.147255119456399,4,Continuous,Fluidized Bed,True
241.84815819561254,15.570101361254988,5.821597742887499,2.1638343979963133,1.278604767382729,Noble Metal,235.38326189835757,624.348782752529,1.8875906073332094,0.5415871478248147,3,Continuous,Fixed Bed,False
